Date	KOSPI	Binggrae	Daewoo	HHI	Hansol	Hanwha	Hcar	Hyosung	Kolong	KoreaTB	SKT	Samsung		Datenumber
4-Jan-10	1696	50800	21100	172000	10800	49200	119000	85300	43000	10134	170000	809000		734142
5-Jan-10	1691	48800	21050	171000	10850	49350	110000	88300	43000	10160	168500	822000		734143
6-Jan-10	1705	49900	21400	177500	11000	50600	111000	92700	43000	10144	169000	841000		734144
7-Jan-10	1683	49850	21400	194000	10750	50400	106000	89800	43000	10175	171500	813000		734145
8-Jan-10	1695	48850	22650	205000	10800	50600	106000	93000	43000	10168	169500	821000		734146
11-Jan-10	1694	48200	22700	206000	10750	50100	101500	93200	43000	10191	172000	797000		734149
12-Jan-10	1699	47700	22700	204000	10600	49450	103000	92800	43000	10203	173000	809000		734150
13-Jan-10	1671	47300	21550	192500	10300	48150	102000	90000	43000	10203	173000	797000		734151
14-Jan-10	1686	47700	21950	204000	10500	49900	103500	91700	43000	10211	171000	827000		734152
15-Jan-10	1702	48000	22000	217000	10800	51000	108000	91900	43000	10209	181000	842000		734153
18-Jan-10	1712	47550	22400	217500	10750	51300	108000	92600	43000	10199	179000	843000		734156
19-Jan-10	1710	47700	22100	218000	10550	50600	104500	91400	43000	10213	182500	823000		734157
20-Jan-10	1714	47150	21700	216000	10450	49900	103500	91400	43000	10212	188000	834000		734158
21-Jan-10	1722	47400	21900	220500	11100	50100	109000	93000	43000	10211	186000	850000		734159
22-Jan-10	1684	47500	21000	212000	10950	48400	109500	87700	43000	10221	181000	825000		734160
25-Jan-10	1670	47700	20250	206500	10900	46800	111000	88000	43000	10218	177500	842000		734163
26-Jan-10	1637	46450	19700	202000	10450	45850	108500	86100	43000	10234	178000	815000		734164
27-Jan-10	1625	47600	19500	193500	10050	46150	109000	83800	43000	10230	187000	800000		734165
28-Jan-10	1642	47350	20100	194000	10200	47400	113500	84700	43000	10211	185000	808000		734166
29-Jan-10	1602	46800	19300	187000	9780	46750	113000	81300	43000	10230	183000	784000		734167
1-Feb-10	1606	46400	19700	198000	9730	47300	116000	80700	26550	10226	179500	777000		734170
2-Feb-10	1596	46100	19400	197000	9800	44200	112000	78600	27800	10234	177000	772000		734171
3-Feb-10	1615	46000	19950	207000	10000	46150	112000	80700	31400	10239	176500	777000		734172
4-Feb-10	1616	45500	19550	213500	10000	45650	116000	81900	34000	10246	177000	776000		734173
5-Feb-10	1567	45400	18750	209500	9730	43200	115500	78600	34000	10256	173000	750000		734174
8-Feb-10	1553	45900	18300	207500	9840	41800	116000	76100	32000	10246	177000	748000		734177
9-Feb-10	1570	45300	18700	206500	10050	43450	116500	76900	30500	10246	178000	761000		734178
10-Feb-10	1570	44900	18600	205500	10050	44550	114000	78600	30250	10248	175000	755000		734179
11-Feb-10	1598	45600	19050	220000	10000	44950	116000	82500	30600	10270	175500	763000		734180
12-Feb-10	1594	45200	18850	221500	9970	45200	116000	85100	30200	10290	174000	750000		734181
16-Feb-10	1601	46100	18800	225500	9840	45350	117000	85100	30150	10289	174000	756000		734185
17-Feb-10	1627	46600	19300	225000	9840	45800	117500	85000	31000	10290	177000	779000		734186
18-Feb-10	1621	46700	18950	227000	9960	45150	115500	85000	30400	10292	177000	775000		734187
19-Feb-10	1594	46900	18350	219500	10200	44200	114500	82700	28900	10276	175500	760000		734188
22-Feb-10	1627	48200	19100	225000	10500	44600	117000	85400	29450	10274	177000	773000		734191
23-Feb-10	1629	48350	19400	224000	10250	43800	117000	86400	29550	10286	179500	767000		734192
24-Feb-10	1613	48200	19500	218000	10550	43700	114000	87300	29900	10295	176000	752000		734193
25-Feb-10	1588	46600	19150	212000	10450	42550	114000	87000	29850	10316	172500	736000		734194
26-Feb-10	1595	47000	19350	206500	10450	42850	115000	87500	30050	10317	172500	744000		734195
2-Mar-10	1615	47500	19550	207500	10400	42200	113500	87700	29800	10318	172500	770000		734199
3-Mar-10	1622	47400	19600	212500	10500	43300	114500	85900	29550	10329	171500	771000		734200
4-Mar-10	1618	46500	19100	214000	10550	43100	114500	84000	29050	10334	171500	761000		734201
5-Mar-10	1635	47200	19550	218500	10550	43850	114500	85000	29500	10336	170500	775000		734202
8-Mar-10	1660	48000	20400	223500	10800	43000	115000	86500	29500	10333	176500	786000		734205
9-Mar-10	1661	47700	20500	227500	10600	43550	114000	85800	30800	10343	181000	786000		734206
10-Mar-10	1662	48700	20400	228500	10450	44500	114500	86400	30450	10351	180000	784000		734207
11-Mar-10	1657	47600	20150	226000	10850	44050	112000	86600	30850	10386	178000	778000		734208
12-Mar-10	1663	48150	20150	229500	10800	44350	108000	86100	30800	10398	179500	778000		734209
15-Mar-10	1650	47800	19800	228500	10650	43550	107500	85200	30450	10401	178000	768000		734212
16-Mar-10	1648	48050	20100	228000	10650	44000	109500	86300	30050	10424	175000	765000		734213
17-Mar-10	1683	48600	21100	232500	10700	43000	112000	86300	30800	10434	175500	798000		734214
18-Mar-10	1675	47700	21300	227500	10550	42400	111500	87300	30450	10448	174000	797000		734215
19-Mar-10	1686	48000	21250	232000	10400	42550	115000	87500	30650	10446	174500	804000		734216
22-Mar-10	1673	47550	20600	233500	10350	42100	115500	86500	31300	10459	173500	801000		734219
23-Mar-10	1682	47600	20750	235500	10350	41050	117500	85400	32400	10420	173500	809000		734220
24-Mar-10	1681	47250	20700	232000	10500	41600	116500	82200	31800	10402	173000	819000		734221
25-Mar-10	1688	47300	20750	229000	10400	41300	117000	83000	31400	10440	175500	819000		734222
26-Mar-10	1698	46600	21250	231500	10350	42450	116000	82700	31400	10433	178500	820000		734223
29-Mar-10	1692	47050	20550	234500	10150	42200	117000	81300	30950	10415	176000	818000		734226
30-Mar-10	1700	47000	20850	235500	10400	41900	116000	80400	31500	10414	175500	814000		734227
31-Mar-10	1693	47350	20400	237000	10300	41250	115500	81200	30750	10424	173500	818000		734228
1-Apr-10	1719	47400	21200	239000	10250	41250	121000	79800	30700	10440	174500	845000		734229
2-Apr-10	1723	47750	21200	235000	10200	40200	128000	80500	30450	10444	173000	857000		734230
5-Apr-10	1725	48850	21650	231000	9910	40800	130500	78500	29600	10439	173500	870000		734233
6-Apr-10	1726	49800	21850	233000	9820	40050	129000	77400	29600	10445	175500	869000		734234
7-Apr-10	1727	49650	21750	233500	10200	40900	128000	80400	30350	10459	178000	859000		734235
8-Apr-10	1734	49350	21600	234500	10300	41300	127500	81200	30150	10477	177500	863000		734236
9-Apr-10	1724	49400	21250	232000	10250	41000	126500	78800	29850	10465	176500	856000		734237
12-Apr-10	1710	51000	21350	237000	10100	40450	118000	78700	29400	10441	174000	830000		734240
13-Apr-10	1711	50800	21150	237500	10150	41200	120000	78900	29800	10448	175000	828000		734241
14-Apr-10	1735	51800	21600	245000	10250	42400	119500	78400	29600	10437	176500	845000		734242
15-Apr-10	1744	51900	22400	250500	10250	41950	119000	78100	29700	10444	174500	855000		734243
16-Apr-10	1734	50700	22000	251000	10100	42000	119000	79800	29650	10465	174500	848000		734244
19-Apr-10	1705	50000	21200	251500	10000	40900	119000	78300	29000	10463	173000	827000		734247
20-Apr-10	1718	49950	21250	249500	10450	40800	123000	78300	29200	10472	176000	828000		734248
21-Apr-10	1748	50300	21850	256000	10600	42150	125000	78100	29550	10464	174000	852000		734249
22-Apr-10	1740	50400	21250	258000	11050	42400	125500	78600	29100	10475	173500	841000		734250
23-Apr-10	1737	50700	21100	256500	11100	43250	130000	78000	29550	10482	172000	830000		734251
26-Apr-10	1752	51800	21850	258500	10950	42550	131500	77500	30200	10486	172000	834000		734254
27-Apr-10	1750	51700	21750	262000	10650	41600	130000	78000	30400	10509	172500	835000		734255
28-Apr-10	1734	49450	21000	262000	10900	40700	131500	76600	30000	10519	171500	825000		734256
29-Apr-10	1728	48650	20900	258500	11650	40750	135500	75600	31500	10530	172500	825000		734257
30-Apr-10	1742	49050	21150	253500	11400	41350	137000	79100	31350	10524	172000	849000		734258
3-May-10	1721	49800	20450	251000	11600	40600	134500	79000	30450	10504	173500	829000		734261
4-May-10	1719	50600	20150	252000	11600	40050	138000	76700	30100	10506	172500	834000		734262
6-May-10	1685	49400	19250	248000	11450	37950	136500	73000	29300	10483	171000	814000		734264
7-May-10	1648	47700	18900	245000	11300	37250	131000	70000	28050	10507	168500	794000		734265
10-May-10	1678	47400	19700	246000	11450	38050	130500	70500	28650	10499	170500	803000		734268
11-May-10	1670	48800	19750	244000	11850	37800	130500	70400	28650	10524	168000	791000		734269
12-May-10	1663	49900	19650	238000	12150	36900	134000	69100	28000	10486	169000	789000		734270
13-May-10	1695	50100	20150	235000	12700	36600	141500	67800	28400	10481	168000	813000		734271
